"","well","treatment","libraryid","plate","libraryname","mouse","total_reads","gene_count","filename1","filename2"
"50","B1","mCcl7",13,1,"samp_13",1,249295.387206627,249295,"s13_S13_L001_R1_001.fastq.gz","s13_S13_L002_R1_001.fastq.gz"
"66","B2","mcxcl20",14,1,"samp_14",1,303726.673206046,303726,"s14_S14_L001_R1_001.fastq.gz","s14_S14_L002_R1_001.fastq.gz"
"70","B3","ifnb",15,1,"samp_15",1,301843.582169026,301843,"s15_S15_L001_R1_001.fastq.gz","s15_S15_L002_R1_001.fastq.gz"
"74","B4","mcxcl10",16,1,"samp_16",1,318265.556063525,318265,"s16_S16_L001_R1_001.fastq.gz","s16_S16_L002_R1_001.fastq.gz"
"78","B5","mil5",17,1,"samp_17",1,328542.828326759,328542,"s17_S17_L001_R1_001.fastq.gz","s17_S17_L002_R1_001.fastq.gz"
"81","B6","mcxcl16",18,1,"samp_18",1,188034.222963294,188034,"s18_S18_L001_R1_001.fastq.gz","s18_S18_L002_R1_001.fastq.gz"
"87","B7","hil24",19,1,"samp_19",1,355108.966986221,355108,"s19_S19_L001_R1_001.fastq.gz","s19_S19_L002_R1_001.fastq.gz"
"92","B8","_il4",20,1,"samp_20",1,304619.99849015,304619,"s20_S20_L001_R1_001.fastq.gz","s20_S20_L002_R1_001.fastq.gz"
"95","B9","sdf1a",21,1,"samp_21",1,312364.001394474,312364,"s21_S21_L001_R1_001.fastq.gz","s21_S21_L002_R1_001.fastq.gz"
"56","B10","il13",22,1,"samp_22",1,388391.902382472,388391,"s22_S22_L001_R1_001.fastq.gz","s22_S22_L002_R1_001.fastq.gz"
"97","C1","mccl2",25,1,"samp_25",1,216772.158392988,216772,"s25_S25_L001_R1_001.fastq.gz","s25_S25_L002_R1_001.fastq.gz"
"116","C2","mtnfsf18",26,1,"samp_26",1,174146.517399612,174146,"s26_S26_L001_R1_001.fastq.gz","s26_S26_L002_R1_001.fastq.gz"
"117","C3","mccl22",27,1,"samp_27",1,242958.627495541,242958,"s27_S27_L001_R1_001.fastq.gz","s27_S27_L002_R1_001.fastq.gz"
"123","C4","mcxcl9",28,1,"samp_28",1,267791.377064596,267791,"s28_S28_L001_R1_001.fastq.gz","s28_S28_L002_R1_001.fastq.gz"
"125","C5","mtnfa",29,1,"samp_29",1,209402.303021411,209402,"s29_S29_L001_R1_001.fastq.gz","s29_S29_L002_R1_001.fastq.gz"
"130","C6","mil18",30,1,"samp_30",1,303652.208382513,303652,"s30_S30_L001_R1_001.fastq.gz","s30_S30_L002_R1_001.fastq.gz"
"135","C7","mccl2",31,1,"samp_31",1,373475.318814995,373475,"s31_S31_L001_R1_001.fastq.gz","s31_S31_L002_R1_001.fastq.gz"
"139","C8","ifna",32,1,"samp_32",1,282883.45681897,282883,"s32_S32_L001_R1_001.fastq.gz","s32_S32_L002_R1_001.fastq.gz"
"144","C9","mil21",33,1,"samp_33",1,198304.507667398,198304,"s33_S33_L001_R1_001.fastq.gz","s33_S33_L002_R1_001.fastq.gz"
"104","C10","mil33",34,1,"samp_34",1,178293.5776524,178293,"s34_S34_L001_R1_001.fastq.gz","s34_S34_L002_R1_001.fastq.gz"
"147","D1","wt",37,1,"samp_37",1,347244.097282064,347244,"s37_S37_L001_R1_001.fastq.gz","s37_S37_L002_R1_001.fastq.gz"
"163","D2","wt",38,1,"samp_38",1,307750.328797323,307750,"s38_S38_L001_R1_001.fastq.gz","s38_S38_L002_R1_001.fastq.gz"
"167","D3","wt",39,1,"samp_39",1,307080.130598114,307080,"s39_S39_L001_R1_001.fastq.gz","s39_S39_L002_R1_001.fastq.gz"
"169","D4","wt",40,1,"samp_40",1,229840.440177329,229840,"s40_S40_L001_R1_001.fastq.gz","s40_S40_L002_R1_001.fastq.gz"
"174","D5","wt",41,1,"samp_41",1,295814.366525797,295814,"s41_S41_L001_R1_001.fastq.gz","s41_S41_L002_R1_001.fastq.gz"
"178","D6","mIL10",42,1,"samp_42",1,306634.623050134,306634,"s42_S42_L001_R1_001.fastq.gz","s42_S42_L002_R1_001.fastq.gz"
"184","D7","2",43,1,"samp_43",1,352025.105440233,352025,"s43_S43_L001_R1_001.fastq.gz","s43_S43_L002_R1_001.fastq.gz"
