	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
0610005C13Rik	0	0	3	0	0	0	1	6	2	0	0	0	4	2	1
0610007P14Rik	1238	1160	1133	1251	764	790	2240	2737	2720	1321	2025	1385	692	939	573
0610009B22Rik	193	269	253	138	93	88	367	380	348	354	402	308	54	108	132
0610009L18Rik	64	43	63	25	42	31	88	150	72	55	32	39	22	40	16
0610009O20Rik	115	144	135	137	189	230	594	577	532	186	151	143	199	153	109
0610010B08Rik	0	5	0	2	2	0	1	2	1	0	0	0	1	1	2
0610010F05Rik	151	115	266	293	197	174	95	84	139	335	286	104	150	167	118
0610010K14Rik	1172	778	914	1124	720	770	3058	3714	2866	955	1010	1004	704	1095	686
0610011F06Rik	670	742	667	509	349	402	1364	1806	1323	808	915	805	339	642	368
0610012G03Rik	675	771	620	790	748	583	1272	1403	858	837	986	695	546	938	568
0610030E20Rik	580	548	521	544	646	598	1311	1433	1318	867	690	618	483	488	465
0610031J06Rik	4072	3213	3776	3057	3002	3403	5625	6298	3470	4084	3771	4505	4460	3255	2334
0610031O16Rik	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
0610037L13Rik	586	333	368	405	371	364	1310	1590	1166	478	610	418	325	446	333
0610038B21Rik	3	0	2	5	15	24	6	3	8	2	1	2	1	12	8
0610039K10Rik	2	1	0	4	2	6	2	0	9	12	1	7	9	1	0
0610040B10Rik	0	0	11	6	3	2	12	17	18	11	1	1	4	0	0
0610040F04Rik	3	0	3	13	0	0	0	0	0	1	0	1	0	0	0
0610040J01Rik	0	0	5	8	0	4	0	0	4	0	0	1	0	0	0
0610043K17Rik	0	0	0	0	0	0	11	12	4	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	240	229	354	344	185	236	635	687	477	241	361	282	155	327	188
1110002L01Rik	25	55	37	32	32	41	133	147	96	70	62	47	11	19	19
