Cell,Gene,Ct,Call
0-70,ACTN1,999,Fail
0-70,CCR2,999,Fail
0-70,CD33,999,Fail
0-70,CD8A,999,Fail
0-70,EIF2B1,999,Fail
0-70,HBB_B2,999,Fail
0-70,IL13,999,Fail
0-70,IL1RL1_R,999,Fail
0-70,JHM1D,999,Fail
0-70,POU6F1,20.77768602,Pass
0-70,SCML4,999,Fail
0-70,TRIB2,999,Fail
0-70,AHR,999,Fail
0-70,CCR5,999,Fail
0-70,CD3E,999,Fail
0-70,CDH17,999,Fail
0-70,EPAS1,999,Fail
0-70,HLX,999,Fail
0-70,IL13RA1,999,Fail
0-70,IL4,999,Fail
0-70,KLRG1,999,Fail
0-70,PPARG,999,Fail
0-70,IL1RL1,999,Fail
0-70,TXK,999,Fail
0-70,ASB2,999,Fail
0-70,CCR8,999,Fail
0-70,CD4,999,Fail
0-70,CTLA4,999,Fail
0-70,FGF18,999,Fail
0-70,HPRT1,999,Fail
0-70,IL17A,999,Fail
0-70,IL4R,999,Fail
0-70,MSC,999,Fail
0-70,PRDM1,999,Fail
0-70,SMAD7,999,Fail
0-70,UBC,999,Fail
0-70,ATF3,999,Fail
0-70,KIT,999,Fail
0-70,CD44,999,Fail
0-70,CXCR3,999,Fail
0-70,FOXP1,999,Fail
0-70,ICOS,999,Fail
0-70,IL2,999,Fail
0-70,IL5,999,Fail
0-70,MYB,999,Fail
0-70,PTGIR,999,Fail
0-70,TBX21,999,Fail
0-70,VDR,19.53524204,Pass
0-70,IFNG,999,Fail
0-70,FOXP3,999,Fail
0-70,CXCR5,999,Fail
0-70,PTPRC,999,Fail
0-70,ITGAM,999,Fail
0-70,ATP5A1,999,Fail
0-70,VIPR1,999,Fail
0-70,TCF7,999,Fail
0-70,PTH,999,Fail
0-70,MYCN,999,Fail
0-70,IL6,999,Fail
0-70,IL21,999,Fail
0-70,IFNGR1,999,Fail
0-70,FSHB,999,Fail
0-70,CXCR6,999,Fail
0-70,NCAM1,999,Fail
0-70,SELL,999,Fail
0-70,ITGAX,999,Fail
0-70,ZBTB16,999,Fail
0-70,TCFEC,999,Fail
0-70,RORA,999,Fail
0-70,NCF1,999,Fail
0-70,IL7R,999,Fail
0-70,IL23R,999,Fail
0-70,IL10,999,Fail
0-70,CD69,999,Fail
0-70,GATA2,999,Fail
0-70,CYP11A1,999,Fail
0-70,BATF,27.41102042,Pass
0-70,BCL2L11,999,Fail
0-70,ZC3H12C,999,Fail
0-70,TG,999,Fail
0-70,RORC,999,Fail
0-70,PHF1,999,Fail
0-70,IL9,999,Fail
0-70,IL25R,999,Fail
0-70,GATA3,999,Fail
0-70,IL27RA,999,Fail
0-70,E2F8,999,Fail
0-70,CD19,999,Fail
0-70,IL2RA,999,Fail
0-70,BCL2,999,Fail
0-70,ZFP36,999,Fail
0-70,TGFB1,999,Fail
0-70,RUNX3,999,Fail
0-70,POLR2A,999,Fail
0-70,IRF8,999,Fail
0-70,IL12RB2,999,Fail
D0_M1_mes_40_ac,ACTN1,999,Fail
D0_M1_mes_40_ac,CCR2,999,Fail
D0_M1_mes_40_ac,CD33,999,Fail
D0_M1_mes_40_ac,CD8A,999,Fail
D0_M1_mes_40_ac,EIF2B1,999,Fail
D0_M1_mes_40_ac,HBB_B2,999,Fail
D0_M1_mes_40_ac,IL13,999,Fail
D0_M1_mes_40_ac,IL1RL1_R,999,Fail
D0_M1_mes_40_ac,JHM1D,999,Fail
D0_M1_mes_40_ac,POU6F1,999,Fail
D0_M1_mes_40_ac,SCML4,999,Fail
D0_M1_mes_40_ac,TRIB2,999,Fail
D0_M1_mes_40_ac,AHR,999,Fail
D0_M1_mes_40_ac,CCR5,999,Fail
D0_M1_mes_40_ac,CD3E,999,Fail
D0_M1_mes_40_ac,CDH17,999,Fail
D0_M1_mes_40_ac,EPAS1,999,Fail
D0_M1_mes_40_ac,HLX,999,Fail
D0_M1_mes_40_ac,IL13RA1,999,Fail
D0_M1_mes_40_ac,IL4,999,Fail
D0_M1_mes_40_ac,KLRG1,999,Fail
D0_M1_mes_40_ac,PPARG,999,Fail
D0_M1_mes_40_ac,IL1RL1,999,Fail
D0_M1_mes_40_ac,TXK,999,Fail
D0_M1_mes_40_ac,ASB2,999,Fail
D0_M1_mes_40_ac,CCR8,999,Fail
D0_M1_mes_40_ac,CD4,999,Fail
D0_M1_mes_40_ac,CTLA4,999,Fail
D0_M1_mes_40_ac,FGF18,999,Fail
D0_M1_mes_40_ac,HPRT1,999,Fail
D0_M1_mes_40_ac,IL17A,999,Fail
D0_M1_mes_40_ac,IL4R,999,Fail
D0_M1_mes_40_ac,MSC,999,Fail
D0_M1_mes_40_ac,PRDM1,999,Fail
D0_M1_mes_40_ac,SMAD7,999,Fail
D0_M1_mes_40_ac,UBC,999,Fail
D0_M1_mes_40_ac,ATF3,999,Fail
D0_M1_mes_40_ac,KIT,999,Fail
D0_M1_mes_40_ac,CD44,999,Fail
D0_M1_mes_40_ac,CXCR3,999,Fail
D0_M1_mes_40_ac,FOXP1,999,Fail
D0_M1_mes_40_ac,ICOS,999,Fail
D0_M1_mes_40_ac,IL2,999,Fail
D0_M1_mes_40_ac,IL5,999,Fail
D0_M1_mes_40_ac,MYB,999,Fail
D0_M1_mes_40_ac,PTGIR,999,Fail
D0_M1_mes_40_ac,TBX21,999,Fail
D0_M1_mes_40_ac,VDR,21.79522545,Pass
D0_M1_mes_40_ac,IFNG,999,Fail
D0_M1_mes_40_ac,FOXP3,999,Fail
D0_M1_mes_40_ac,CXCR5,999,Fail
D0_M1_mes_40_ac,PTPRC,999,Fail
D0_M1_mes_40_ac,ITGAM,999,Fail
D0_M1_mes_40_ac,ATP5A1,999,Fail
D0_M1_mes_40_ac,VIPR1,999,Fail
D0_M1_mes_40_ac,TCF7,999,Fail
D0_M1_mes_40_ac,PTH,999,Fail
D0_M1_mes_40_ac,MYCN,999,Fail
D0_M1_mes_40_ac,IL6,999,Fail
D0_M1_mes_40_ac,IL21,999,Fail
D0_M1_mes_40_ac,IFNGR1,999,Fail
D0_M1_mes_40_ac,FSHB,999,Fail
D0_M1_mes_40_ac,CXCR6,999,Fail
D0_M1_mes_40_ac,NCAM1,999,Fail
D0_M1_mes_40_ac,SELL,999,Fail
D0_M1_mes_40_ac,ITGAX,999,Fail
D0_M1_mes_40_ac,ZBTB16,999,Fail
D0_M1_mes_40_ac,TCFEC,999,Fail
D0_M1_mes_40_ac,RORA,999,Fail
D0_M1_mes_40_ac,NCF1,999,Fail
D0_M1_mes_40_ac,IL7R,999,Fail
D0_M1_mes_40_ac,IL23R,999,Fail
D0_M1_mes_40_ac,IL10,999,Fail
D0_M1_mes_40_ac,CD69,999,Fail
D0_M1_mes_40_ac,GATA2,999,Fail
D0_M1_mes_40_ac,CYP11A1,999,Fail
D0_M1_mes_40_ac,BATF,999,Fail
D0_M1_mes_40_ac,BCL2L11,999,Fail
D0_M1_mes_40_ac,ZC3H12C,999,Fail
D0_M1_mes_40_ac,TG,999,Fail
D0_M1_mes_40_ac,RORC,999,Fail
D0_M1_mes_40_ac,PHF1,999,Fail
D0_M1_mes_40_ac,IL9,999,Fail
D0_M1_mes_40_ac,IL25R,999,Fail
D0_M1_mes_40_ac,GATA3,999,Fail
D0_M1_mes_40_ac,IL27RA,999,Fail
D0_M1_mes_40_ac,E2F8,999,Fail
D0_M1_mes_40_ac,CD19,999,Fail
D0_M1_mes_40_ac,IL2RA,999,Fail
D0_M1_mes_40_ac,BCL2,999,Fail
D0_M1_mes_40_ac,ZFP36,999,Fail
D0_M1_mes_40_ac,TGFB1,999,Fail
D0_M1_mes_40_ac,RUNX3,999,Fail
D0_M1_mes_40_ac,POLR2A,999,Fail
D0_M1_mes_40_ac,IRF8,999,Fail
D0_M1_mes_40_ac,IL12RB2,999,Fail
D0_M1_g_39_nu,ACTN1,999,Fail
D0_M1_g_39_nu,CCR2,999,Fail
D0_M1_g_39_nu,CD33,999,Fail
D0_M1_g_39_nu,CD8A,999,Fail
D0_M1_g_39_nu,EIF2B1,19.49030534,Pass
D0_M1_g_39_nu,HBB_B2,999,Fail
D0_M1_g_39_nu,IL13,999,Fail
D0_M1_g_39_nu,IL1RL1_R,999,Fail
D0_M1_g_39_nu,JHM1D,999,Fail
D0_M1_g_39_nu,POU6F1,21.30921489,Pass
D0_M1_g_39_nu,SCML4,999,Fail
D0_M1_g_39_nu,TRIB2,999,Fail
D0_M1_g_39_nu,AHR,999,Fail
D0_M1_g_39_nu,CCR5,999,Fail
D0_M1_g_39_nu,CD3E,999,Fail
D0_M1_g_39_nu,CDH17,19.79638187,Pass
D0_M1_g_39_nu,EPAS1,999,Fail
D0_M1_g_39_nu,HLX,999,Fail
D0_M1_g_39_nu,IL13RA1,999,Fail
D0_M1_g_39_nu,IL4,999,Fail
D0_M1_g_39_nu,KLRG1,999,Fail
D0_M1_g_39_nu,PPARG,999,Fail
D0_M1_g_39_nu,IL1RL1,999,Fail
D0_M1_g_39_nu,TXK,999,Fail
D0_M1_g_39_nu,ASB2,999,Fail
D0_M1_g_39_nu,CCR8,999,Fail
D0_M1_g_39_nu,CD4,999,Fail
D0_M1_g_39_nu,CTLA4,999,Fail
D0_M1_g_39_nu,FGF18,999,Fail
D0_M1_g_39_nu,HPRT1,19.44575833,Pass
D0_M1_g_39_nu,IL17A,999,Fail
D0_M1_g_39_nu,IL4R,19.0146292,Pass
D0_M1_g_39_nu,MSC,999,Fail
D0_M1_g_39_nu,PRDM1,999,Fail
D0_M1_g_39_nu,SMAD7,999,Fail
D0_M1_g_39_nu,UBC,15.97343046,Pass
D0_M1_g_39_nu,ATF3,999,Fail
D0_M1_g_39_nu,KIT,999,Fail
D0_M1_g_39_nu,CD44,18.18530112,Pass
D0_M1_g_39_nu,CXCR3,999,Fail
D0_M1_g_39_nu,FOXP1,16.37105551,Pass
D0_M1_g_39_nu,ICOS,999,Fail
D0_M1_g_39_nu,IL2,999,Fail
D0_M1_g_39_nu,IL5,999,Fail
D0_M1_g_39_nu,MYB,999,Fail
D0_M1_g_39_nu,PTGIR,999,Fail
D0_M1_g_39_nu,TBX21,999,Fail
D0_M1_g_39_nu,VDR,999,Fail
D0_M1_g_39_nu,IFNG,999,Fail
D0_M1_g_39_nu,FOXP3,999,Fail
D0_M1_g_39_nu,CXCR5,17.77216323,Pass
D0_M1_g_39_nu,PTPRC,17.53648549,Pass
D0_M1_g_39_nu,ITGAM,999,Fail
D0_M1_g_39_nu,ATP5A1,17.09198548,Pass
D0_M1_g_39_nu,VIPR1,19.44894441,Pass
D0_M1_g_39_nu,TCF7,999,Fail
D0_M1_g_39_nu,PTH,999,Fail
D0_M1_g_39_nu,MYCN,999,Fail
D0_M1_g_39_nu,IL6,999,Fail
D0_M1_g_39_nu,IL21,999,Fail
D0_M1_g_39_nu,IFNGR1,20.49514076,Pass
D0_M1_g_39_nu,FSHB,999,Fail
D0_M1_g_39_nu,CXCR6,999,Fail
D0_M1_g_39_nu,NCAM1,999,Fail
D0_M1_g_39_nu,SELL,999,Fail
D0_M1_g_39_nu,ITGAX,999,Fail
D0_M1_g_39_nu,ZBTB16,999,Fail
D0_M1_g_39_nu,TCFEC,999,Fail
D0_M1_g_39_nu,RORA,999,Fail
D0_M1_g_39_nu,NCF1,999,Fail
D0_M1_g_39_nu,IL7R,999,Fail
D0_M1_g_39_nu,IL23R,999,Fail
D0_M1_g_39_nu,IL10,999,Fail
D0_M1_g_39_nu,CD69,999,Fail
D0_M1_g_39_nu,GATA2,17.96935725,Pass
D0_M1_g_39_nu,CYP11A1,999,Fail
D0_M1_g_39_nu,BATF,999,Fail
D0_M1_g_39_nu,BCL2L11,17.64832911,Pass
D0_M1_g_39_nu,ZC3H12C,999,Fail
D0_M1_g_39_nu,TG,999,Fail
D0_M1_g_39_nu,RORC,999,Fail
D0_M1_g_39_nu,PHF1,999,Fail
D0_M1_g_39_nu,IL9,999,Fail
D0_M1_g_39_nu,IL25R,999,Fail
D0_M1_g_39_nu,GATA3,999,Fail
D0_M1_g_39_nu,IL27RA,999,Fail
D0_M1_g_39_nu,E2F8,999,Fail
D0_M1_g_39_nu,CD19,17.98784171,Pass
D0_M1_g_39_nu,IL2RA,999,Fail
D0_M1_g_39_nu,BCL2,999,Fail
D0_M1_g_39_nu,ZFP36,16.97262317,Pass
D0_M1_g_39_nu,TGFB1,17.87458671,Pass
D0_M1_g_39_nu,RUNX3,999,Fail
D0_M1_g_39_nu,POLR2A,999,Fail
D0_M1_g_39_nu,IRF8,19.32305052,Pass
D0_M1_g_39_nu,IL12RB2,999,Fail
D0_M1_mes_32_nv,ACTN1,18.06805805,Pass
D0_M1_mes_32_nv,CCR2,999,Fail
D0_M1_mes_32_nv,CD33,999,Fail
D0_M1_mes_32_nv,CD8A,999,Fail
D0_M1_mes_32_nv,EIF2B1,20.31010131,Pass
D0_M1_mes_32_nv,HBB_B2,999,Fail
D0_M1_mes_32_nv,IL13,999,Fail
D0_M1_mes_32_nv,IL1RL1_R,999,Fail
D0_M1_mes_32_nv,JHM1D,21.3570408,Pass
D0_M1_mes_32_nv,POU6F1,999,Fail
D0_M1_mes_32_nv,SCML4,19.17330495,Pass
D0_M1_mes_32_nv,TRIB2,999,Fail
D0_M1_mes_32_nv,AHR,999,Fail
D0_M1_mes_32_nv,CCR5,999,Fail
D0_M1_mes_32_nv,CD3E,19.50942161,Pass
D0_M1_mes_32_nv,CDH17,999,Fail
D0_M1_mes_32_nv,EPAS1,999,Fail
D0_M1_mes_32_nv,HLX,999,Fail
D0_M1_mes_32_nv,IL13RA1,999,Fail
D0_M1_mes_32_nv,IL4,999,Fail
D0_M1_mes_32_nv,KLRG1,999,Fail
D0_M1_mes_32_nv,PPARG,999,Fail
D0_M1_mes_32_nv,IL1RL1,999,Fail
D0_M1_mes_32_nv,TXK,21.04765051,Pass
D0_M1_mes_32_nv,ASB2,999,Fail
D0_M1_mes_32_nv,CCR8,999,Fail
D0_M1_mes_32_nv,CD4,17.51118369,Pass
D0_M1_mes_32_nv,CTLA4,999,Fail
D0_M1_mes_32_nv,FGF18,999,Fail
D0_M1_mes_32_nv,HPRT1,19.00865792,Pass
D0_M1_mes_32_nv,IL17A,999,Fail
D0_M1_mes_32_nv,IL4R,20.01201686,Pass
D0_M1_mes_32_nv,MSC,999,Fail
D0_M1_mes_32_nv,PRDM1,999,Fail
D0_M1_mes_32_nv,SMAD7,19.511555,Pass
D0_M1_mes_32_nv,UBC,17.053327,Pass
D0_M1_mes_32_nv,ATF3,999,Fail
D0_M1_mes_32_nv,KIT,999,Fail
D0_M1_mes_32_nv,CD44,999,Fail
D0_M1_mes_32_nv,CXCR3,999,Fail
D0_M1_mes_32_nv,FOXP1,17.87940814,Pass
D0_M1_mes_32_nv,ICOS,999,Fail
D0_M1_mes_32_nv,IL2,999,Fail
D0_M1_mes_32_nv,IL5,999,Fail
D0_M1_mes_32_nv,MYB,999,Fail
D0_M1_mes_32_nv,PTGIR,999,Fail
D0_M1_mes_32_nv,TBX21,999,Fail
D0_M1_mes_32_nv,VDR,20.87196394,Pass
D0_M1_mes_32_nv,IFNG,999,Fail
D0_M1_mes_32_nv,FOXP3,999,Fail
D0_M1_mes_32_nv,CXCR5,999,Fail
D0_M1_mes_32_nv,PTPRC,16.61207842,Pass
D0_M1_mes_32_nv,ITGAM,999,Fail
D0_M1_mes_32_nv,ATP5A1,16.65514577,Pass
D0_M1_mes_32_nv,VIPR1,999,Fail
D0_M1_mes_32_nv,TCF7,17.28513007,Pass
D0_M1_mes_32_nv,PTH,999,Fail
D0_M1_mes_32_nv,MYCN,999,Fail
D0_M1_mes_32_nv,IL6,999,Fail
D0_M1_mes_32_nv,IL21,999,Fail
D0_M1_mes_32_nv,IFNGR1,20.80919947,Pass
D0_M1_mes_32_nv,FSHB,999,Fail
D0_M1_mes_32_nv,CXCR6,999,Fail
D0_M1_mes_32_nv,NCAM1,999,Fail
D0_M1_mes_32_nv,SELL,15.40532814,Pass
D0_M1_mes_32_nv,ITGAX,999,Fail
D0_M1_mes_32_nv,ZBTB16,999,Fail
D0_M1_mes_32_nv,TCFEC,999,Fail
D0_M1_mes_32_nv,RORA,999,Fail
D0_M1_mes_32_nv,NCF1,999,Fail
D0_M1_mes_32_nv,IL7R,18.11960607,Pass
D0_M1_mes_32_nv,IL23R,999,Fail
D0_M1_mes_32_nv,IL10,999,Fail
D0_M1_mes_32_nv,CD69,999,Fail
D0_M1_mes_32_nv,GATA2,16.81859036,Pass
D0_M1_mes_32_nv,CYP11A1,999,Fail
D0_M1_mes_32_nv,BATF,999,Fail
D0_M1_mes_32_nv,BCL2L11,999,Fail
D0_M1_mes_32_nv,ZC3H12C,999,Fail
D0_M1_mes_32_nv,TG,999,Fail
D0_M1_mes_32_nv,RORC,999,Fail
D0_M1_mes_32_nv,PHF1,999,Fail
D0_M1_mes_32_nv,IL9,999,Fail
D0_M1_mes_32_nv,IL25R,999,Fail
D0_M1_mes_32_nv,GATA3,17.6572954,Pass
D0_M1_mes_32_nv,IL27RA,19.00489481,Pass
D0_M1_mes_32_nv,E2F8,999,Fail
D0_M1_mes_32_nv,CD19,999,Fail
D0_M1_mes_32_nv,IL2RA,999,Fail
D0_M1_mes_32_nv,BCL2,999,Fail
D0_M1_mes_32_nv,ZFP36,18.71852616,Pass
D0_M1_mes_32_nv,TGFB1,18.74552777,Pass
D0_M1_mes_32_nv,RUNX3,999,Fail
D0_M1_mes_32_nv,POLR2A,999,Fail
D0_M1_mes_32_nv,IRF8,999,Fail
D0_M1_mes_32_nv,IL12RB2,999,Fail
D0_M1_g_31_nu,ACTN1,999,Fail
D0_M1_g_31_nu,CCR2,999,Fail
D0_M1_g_31_nu,CD33,999,Fail
D0_M1_g_31_nu,CD8A,999,Fail
D0_M1_g_31_nu,EIF2B1,19.63654889,Pass
D0_M1_g_31_nu,HBB_B2,999,Fail
D0_M1_g_31_nu,IL13,999,Fail
D0_M1_g_31_nu,IL1RL1_R,999,Fail
D0_M1_g_31_nu,JHM1D,999,Fail
D0_M1_g_31_nu,POU6F1,18.79314676,Pass
D0_M1_g_31_nu,SCML4,999,Fail
D0_M1_g_31_nu,TRIB2,999,Fail
D0_M1_g_31_nu,AHR,999,Fail
D0_M1_g_31_nu,CCR5,999,Fail
D0_M1_g_31_nu,CD3E,999,Fail
D0_M1_g_31_nu,CDH17,999,Fail
D0_M1_g_31_nu,EPAS1,999,Fail
D0_M1_g_31_nu,HLX,999,Fail
D0_M1_g_31_nu,IL13RA1,999,Fail
D0_M1_g_31_nu,IL4,999,Fail
D0_M1_g_31_nu,KLRG1,999,Fail
D0_M1_g_31_nu,PPARG,999,Fail
D0_M1_g_31_nu,IL1RL1,999,Fail
D0_M1_g_31_nu,TXK,999,Fail
D0_M1_g_31_nu,ASB2,999,Fail
D0_M1_g_31_nu,CCR8,999,Fail
D0_M1_g_31_nu,CD4,999,Fail
D0_M1_g_31_nu,CTLA4,999,Fail
D0_M1_g_31_nu,FGF18,999,Fail
D0_M1_g_31_nu,HPRT1,16.5379249,Pass
D0_M1_g_31_nu,IL17A,999,Fail
D0_M1_g_31_nu,IL4R,19.40347507,Pass
D0_M1_g_31_nu,MSC,999,Fail
D0_M1_g_31_nu,PRDM1,999,Fail
D0_M1_g_31_nu,SMAD7,999,Fail
D0_M1_g_31_nu,UBC,15.39239308,Pass
D0_M1_g_31_nu,ATF3,999,Fail
D0_M1_g_31_nu,KIT,999,Fail
D0_M1_g_31_nu,CD44,999,Fail
D0_M1_g_31_nu,CXCR3,999,Fail
D0_M1_g_31_nu,FOXP1,17.05161687,Pass
D0_M1_g_31_nu,ICOS,999,Fail
D0_M1_g_31_nu,IL2,999,Fail
D0_M1_g_31_nu,IL5,999,Fail
D0_M1_g_31_nu,MYB,16.17443469,Pass
D0_M1_g_31_nu,PTGIR,999,Fail
D0_M1_g_31_nu,TBX21,999,Fail
D0_M1_g_31_nu,VDR,18.61404213,Pass
D0_M1_g_31_nu,IFNG,999,Fail
D0_M1_g_31_nu,FOXP3,999,Fail
D0_M1_g_31_nu,CXCR5,18.80503392,Pass
D0_M1_g_31_nu,PTPRC,15.34549726,Pass
D0_M1_g_31_nu,ITGAM,999,Fail
D0_M1_g_31_nu,ATP5A1,16.0601237,Pass
D0_M1_g_31_nu,VIPR1,999,Fail
D0_M1_g_31_nu,TCF7,999,Fail
D0_M1_g_31_nu,PTH,999,Fail
D0_M1_g_31_nu,MYCN,999,Fail
D0_M1_g_31_nu,IL6,999,Fail
D0_M1_g_31_nu,IL21,999,Fail
D0_M1_g_31_nu,IFNGR1,18.22734128,Pass
D0_M1_g_31_nu,FSHB,999,Fail
D0_M1_g_31_nu,CXCR6,999,Fail
D0_M1_g_31_nu,NCAM1,999,Fail
D0_M1_g_31_nu,SELL,999,Fail
D0_M1_g_31_nu,ITGAX,999,Fail
D0_M1_g_31_nu,ZBTB16,999,Fail
D0_M1_g_31_nu,TCFEC,999,Fail
D0_M1_g_31_nu,RORA,999,Fail
D0_M1_g_31_nu,NCF1,18.48943535,Pass
D0_M1_g_31_nu,IL7R,999,Fail
D0_M1_g_31_nu,IL23R,999,Fail
D0_M1_g_31_nu,IL10,999,Fail
D0_M1_g_31_nu,CD69,999,Fail
D0_M1_g_31_nu,GATA2,16.41022511,Pass
D0_M1_g_31_nu,CYP11A1,999,Fail
D0_M1_g_31_nu,BATF,19.57108978,Pass
D0_M1_g_31_nu,BCL2L11,18.25177893,Pass
D0_M1_g_31_nu,ZC3H12C,999,Fail
D0_M1_g_31_nu,TG,999,Fail
D0_M1_g_31_nu,RORC,999,Fail
D0_M1_g_31_nu,PHF1,999,Fail
D0_M1_g_31_nu,IL9,999,Fail
D0_M1_g_31_nu,IL25R,999,Fail
D0_M1_g_31_nu,GATA3,999,Fail
D0_M1_g_31_nu,IL27RA,19.62937089,Pass
D0_M1_g_31_nu,E2F8,15.07150809,Pass
D0_M1_g_31_nu,CD19,18.50192622,Pass
D0_M1_g_31_nu,IL2RA,999,Fail
D0_M1_g_31_nu,BCL2,999,Fail
D0_M1_g_31_nu,ZFP36,16.17999252,Pass
D0_M1_g_31_nu,TGFB1,16.37030377,Pass
D0_M1_g_31_nu,RUNX3,999,Fail
D0_M1_g_31_nu,POLR2A,17.67198308,Pass
D0_M1_g_31_nu,IRF8,18.57661711,Pass
D0_M1_g_31_nu,IL12RB2,999,Fail
D0_M1_mes_24_nu,ACTN1,999,Fail
D0_M1_mes_24_nu,CCR2,999,Fail
D0_M1_mes_24_nu,CD33,999,Fail
D0_M1_mes_24_nu,CD8A,999,Fail
D0_M1_mes_24_nu,EIF2B1,999,Fail
D0_M1_mes_24_nu,HBB_B2,999,Fail
D0_M1_mes_24_nu,IL13,999,Fail
D0_M1_mes_24_nu,IL1RL1_R,999,Fail
D0_M1_mes_24_nu,JHM1D,999,Fail
D0_M1_mes_24_nu,POU6F1,18.80433057,Pass
D0_M1_mes_24_nu,SCML4,999,Fail
D0_M1_mes_24_nu,TRIB2,999,Fail
D0_M1_mes_24_nu,AHR,999,Fail
D0_M1_mes_24_nu,CCR5,999,Fail
D0_M1_mes_24_nu,CD3E,999,Fail
D0_M1_mes_24_nu,CDH17,999,Fail
D0_M1_mes_24_nu,EPAS1,999,Fail
D0_M1_mes_24_nu,HLX,999,Fail
D0_M1_mes_24_nu,IL13RA1,999,Fail
D0_M1_mes_24_nu,IL4,999,Fail
D0_M1_mes_24_nu,KLRG1,999,Fail
D0_M1_mes_24_nu,PPARG,999,Fail
D0_M1_mes_24_nu,IL1RL1,999,Fail
D0_M1_mes_24_nu,TXK,999,Fail
D0_M1_mes_24_nu,ASB2,999,Fail
D0_M1_mes_24_nu,CCR8,999,Fail
D0_M1_mes_24_nu,CD4,999,Fail
D0_M1_mes_24_nu,CTLA4,999,Fail
D0_M1_mes_24_nu,FGF18,999,Fail
D0_M1_mes_24_nu,HPRT1,999,Fail
D0_M1_mes_24_nu,IL17A,999,Fail
D0_M1_mes_24_nu,IL4R,999,Fail
D0_M1_mes_24_nu,MSC,999,Fail
D0_M1_mes_24_nu,PRDM1,999,Fail
D0_M1_mes_24_nu,SMAD7,999,Fail
D0_M1_mes_24_nu,UBC,999,Fail
D0_M1_mes_24_nu,ATF3,999,Fail
D0_M1_mes_24_nu,KIT,999,Fail
D0_M1_mes_24_nu,CD44,999,Fail
D0_M1_mes_24_nu,CXCR3,999,Fail
D0_M1_mes_24_nu,FOXP1,999,Fail
D0_M1_mes_24_nu,ICOS,999,Fail
D0_M1_mes_24_nu,IL2,999,Fail
D0_M1_mes_24_nu,IL5,999,Fail
D0_M1_mes_24_nu,MYB,999,Fail
D0_M1_mes_24_nu,PTGIR,999,Fail
D0_M1_mes_24_nu,TBX21,999,Fail
D0_M1_mes_24_nu,VDR,20.43526941,Pass
D0_M1_mes_24_nu,IFNG,999,Fail
D0_M1_mes_24_nu,FOXP3,999,Fail
D0_M1_mes_24_nu,CXCR5,999,Fail
D0_M1_mes_24_nu,PTPRC,999,Fail
D0_M1_mes_24_nu,ITGAM,999,Fail
D0_M1_mes_24_nu,ATP5A1,999,Fail
D0_M1_mes_24_nu,VIPR1,999,Fail
D0_M1_mes_24_nu,TCF7,999,Fail
D0_M1_mes_24_nu,PTH,999,Fail
D0_M1_mes_24_nu,MYCN,999,Fail
D0_M1_mes_24_nu,IL6,999,Fail
D0_M1_mes_24_nu,IL21,999,Fail
D0_M1_mes_24_nu,IFNGR1,999,Fail
D0_M1_mes_24_nu,FSHB,999,Fail
D0_M1_mes_24_nu,CXCR6,999,Fail
D0_M1_mes_24_nu,NCAM1,999,Fail
D0_M1_mes_24_nu,SELL,999,Fail
D0_M1_mes_24_nu,ITGAX,999,Fail
D0_M1_mes_24_nu,ZBTB16,999,Fail
D0_M1_mes_24_nu,TCFEC,999,Fail
D0_M1_mes_24_nu,RORA,999,Fail
