"","nGene","nUMI","orig.ident","study_accession_number","total_reads","lane","sample_supplier_name","plate.number","well.position","number.of.cells","exp","treatment","days.after.infection","mouse.number","genotype","tissue","cell.type.1","state","rora","pool","num_processed","num_mapped","percent_mapped","global_fl_mode","robust_fl_mode","total_counts","nGenes","percent.mito","NK","doublet","exon4","exon4_rel","exon4_pos","Rora_exprs","Rora_exprs_pos","Cd4_exprs_pos","Sell_exprs_pos","is_lung","is_spleen","is_MedLN","is_MesLN","res.0.5","ident","inferred_celltype"
"22719_3#1",1688,41144.0000511778,NA,"ERP022989",295834,3,"Th nipo_1181_1",1181,"a2",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,147904,76184,51.5090869753354,137,137,41144.0000511778,1688,0.0396300262728909,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#107",2039,174402.002653627,NA,"ERP022989",1174564,3,"Th nipo_1183_48",1183,"e1",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,587230,318981,54.3196022001601,1000,102,174402.002653627,2039,0.0996121015565567,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#108",2047,125675.005980143,NA,"ERP022989",1031290,3,"Th nipo_1183_49",1183,"e2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,515591,251273,48.7349468861947,1000,102,125675.005980143,2047,0.0330774107992231,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#109",2666,200981.993972853,NA,"ERP022989",1743582,3,"Th nipo_1183_50",1183,"e3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,871715,502346,57.6273208560137,1000,100,200981.993972853,2666,0.035163824519298,0,0,1,0.693147180559945,TRUE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#110",2454,206278.904862419,NA,"ERP022989",1263674,3,"Th nipo_1183_51",1183,"e4",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,631767,370995,58.7233901105946,99,100,206278.904862419,2454,0.027197129167143,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"6","KO","Macrophage"
"22719_3#111",2199,166655.010617657,NA,"ERP022989",1280362,3,"Th nipo_1183_52",1183,"e5",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,640124,348737,54.4796008273397,1000,103,166655.010617657,2199,0.0343301909208672,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#112",2585,217831.004979495,NA,"ERP022989",1630776,3,"Th nipo_1183_53",1183,"e6",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,815315,510663,62.6338286429172,1000,103,217831.004979495,2585,0.0671551324907904,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#113",2678,195785.973938435,NA,"ERP022989",1243048,3,"Th nipo_1183_54",1183,"e7",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,621463,335968,54.060820998193,1000,104,195785.973938435,2678,0.137368778053821,0,0,0,0,FALSE,74.0001,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#114",2111,185825.014215649,NA,"ERP022989",1252320,3,"Th nipo_1183_55",1183,"e8",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,626108,356441,56.9296351428188,1000,103,185825.014215648,2111,0.0522235396615553,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#115",2481,219734.025385475,NA,"ERP022989",1628734,3,"Th nipo_1183_56",1183,"e9",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,814287,478164,58.7218020182073,1000,226,219734.025385475,2481,0.0440278058121785,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#116",2505,211766.019861801,NA,"ERP022989",1511132,3,"Th nipo_1183_57",1183,"e10",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,755495,371155,49.1273932984335,1000,258,211766.019861801,2505,0.0486032414771591,0,0,0,0,FALSE,294,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1","KO","Naive"
"22719_3#117",1989,190480.008290519,NA,"ERP022989",1541154,3,"Th nipo_1183_58",1183,"e11",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,770510,447958,58.1378567442343,1000,125,190480.008290519,1989,0.0543385351030654,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#118",2886,102792.993421814,NA,"ERP022989",564482,3,"Th nipo_1183_59",1183,"e12",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,282222,129435,45.8628313880562,1000,149,102792.993421814,2886,0.0968097013554637,0,0,0,0,FALSE,116,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#119",3057,86080.0077150813,NA,"ERP022989",508396,3,"Th nipo_1181_60",1181,"f1",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,254175,94993,37.3730697354185,1000,135,86080.0077150812,3057,0.0248756715622929,0,0,0,0,FALSE,246,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#12",2639,188166.073001237,NA,"ERP022989",925698,3,"Th nipo_1183_1",1183,"a2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,462813,292876,63.2817142128678,91,100,188166.073001237,2639,0.0128292942970337,0,0,0,0,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"6","KO","Macrophage"
"22719_3#120",1663,107389.001803988,NA,"ERP022989",767888,3,"Th nipo_1181_61",1181,"f2",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,383926,195593,50.9454947047087,1000,104,107389.001803988,1663,0.0577731601540003,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#123",2339,169252.990216192,NA,"ERP022989",1102222,3,"Th nipo_1181_64",1181,"f5",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,551061,316395,57.4156037171928,1000,101,169252.990216192,2339,0.0324968271046463,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#127",4330,56175.6698538747,NA,"ERP022989",802090,3,"Th nipo_1181_68",1181,"f9",1,"KO","infected",30,36,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,401007,197042,49.1367981107562,133,133,56175.6698538746,4330,0.0170755316142232,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#13",2680,228869.002622694,NA,"ERP022989",1575932,3,"Th nipo_1183_2",1183,"a3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,787915,435558,55.279820792852,1000,328,228869.002622694,2680,0.0314400855319911,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#131",2862,141433.999141826,NA,"ERP022989",1080920,3,"Th nipo_1183_60",1183,"f1",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,540410,254334,47.0631557521141,1000,102,141433.999141826,2862,0.0110872381429838,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#132",2757,145804.007309142,NA,"ERP022989",942154,3,"Th nipo_1183_61",1183,"f2",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,471044,257190,54.5999949049346,1000,102,145804.007309142,2757,0.0621927318319352,0,0,0,0,FALSE,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#133",2874,155257.003752452,NA,"ERP022989",1271398,3,"Th nipo_1183_62",1183,"f3",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,635644,325482,51.2050770557104,1000,103,155257.003752452,2874,0.0365259761104448,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"0","KO","Th2"
"22719_3#134",2269,182106.993824009,NA,"ERP022989",1253194,3,"Th nipo_1183_63",1183,"f4",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,626537,339421,54.1741349672884,1000,103,182106.993824009,2269,0.0362286113315116,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"3","KO","Th1"
"22719_3#135",2214,168537.845445427,NA,"ERP022989",1280610,3,"Th nipo_1183_64",1183,"f5",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,640266,360266,56.2681760393337,1000,103,168537.845445427,2214,0.0416794747876054,0,0,0,0,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
"22719_3#136",2112,167515.979501172,NA,"ERP022989",1149848,3,"Th nipo_1183_65",1183,"f6",1,"KO","infected",30,37,"rora (CD4) KO","lungs","viableCD3+CD4+CD44+CD62L-","activated",NA,3,574886,300062,52.1950438869619,1000,103,167515.979501172,2112,0.0423563780372627,0,0,1,0.693147180559945,TRUE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2","KO","Treg"
