Dataset,activated (parent),sc (parent),lowdiv (parent),mouse
Specimen_004_B2_B02_001.fcs,0.0579340607210626,0.72057318321392,0.607954545454545,1
Specimen_004_B3_B03_002.fcs,0.043082757296467,0.784958217270195,0.803406671398155,1
Specimen_004_B4_B04_003.fcs,0.0562223374137725,0.725177304964539,0.505623471882641,1
Specimen_004_D2_D02_004.fcs,0.0911485656881349,0.708547636541759,0.61838921534739,2
Specimen_004_D3_D03_005.fcs,0.0618842959242805,0.709715177526336,0.854315557998901,2
Specimen_004_F2_F02_006.fcs,0.0974688490426779,0.701113585746102,0.667725540025413,3
Specimen_004_F3_F03_007.fcs,0.0728944065669414,0.731503024662634,0.815521628498728,3
Specimen_001_B2_B02_001.fcs,0.0588,0.689115646258503,0.460019743336624,
Specimen_001_B3_B03_002.fcs,0.0649350649350649,0.657543859649123,0.500533617929562,
Specimen_001_B4_B04_003.fcs,0.059,0.781016949152542,0.389756944444444,
Specimen_001_B5_B05_004.fcs,0.0588,0.738095238095238,0.368663594470046,
Specimen_001_B6_B06_005.fcs,0.05356,0.710978342046303,0.410714285714286,
Specimen_001_B7_B07_006.fcs,0.05572,0.67264895908112,0.441835645677695,
Specimen_001_B8_B08_007.fcs,0.05608,0.67546362339515,0.416050686378036,
Specimen_001_B9_B09_008.fcs,0.07044,0.705848949460534,0.390989541432019,
Specimen_001_B10_B10_009.fcs,0.06928,0.683025404157044,0.491969568892646,
Specimen_001_B11_B11_010.fcs,0.05604,0.709493219129193,0.454728370221328,
Specimen_001_B2_B02_001.fcs,0.0646591514867834,0.687914739593807,0.48114586378252,
Specimen_001_B3_B03_002.fcs,0.0748420763526504,0.6956749672346,0.504144687264506,
Specimen_001_B4_B04_003.fcs,0.0609392256086505,0.752772518258047,0.388789076536112,
Specimen_001_B5_B05_004.fcs,0.0621057738961669,0.731350806451613,0.390764989662302,
Specimen_001_B6_B06_005.fcs,0.0676926986547228,0.723369310183013,0.392799221537463,
Specimen_001_B7_B07_006.fcs,0.0599886813808715,0.68108605614358,0.44695945945946,
Specimen_001_B8_B08_007.fcs,0.0656018084742486,0.715937429154387,0.376187460417986,
Specimen_001_B9_B09_008.fcs,0.0795491507686216,0.720533333333333,0.395509499136442,
Specimen_001_B10_B10_009.fcs,0.0686701667027495,0.665024630541872,0.490962962962963,
Specimen_001_B11_B11_010.fcs,0.0575505217183704,0.670082967301122,0.466496722505462,
Specimen_001_C2_C02_011.fcs,0.0664195985945998,0.680193236714976,0.498934659090909,
Specimen_001_C3_C03_012.fcs,0.0587035399028828,0.713407134071341,0.373275862068965,
Specimen_001_C4_C04_013.fcs,0.0634248298313111,0.748323126275882,0.302416212003118,
Specimen_001_C5_C05_014.fcs,0.0640146155361717,0.729434806939004,0.353663214422708,
Specimen_001_C6_C06_015.fcs,0.0630788885340147,0.724613220815752,0.391304347826087,
Specimen_001_C7_C07_016.fcs,0.0578579305146494,0.713872135102533,0.451503886448124,
Specimen_001_C8_C08_017.fcs,0.0607092766980565,0.687484133028687,0.464180206794682,
Specimen_001_C9_C09_018.fcs,0.0801757482443952,0.755971896955503,0.466542750929368,
Specimen_001_C10_C10_019.fcs,0.236383136704892,0.895085857880776,0.353739374561335,
Specimen_001_C11_C11_020.fcs,0.067305010690713,0.671270718232044,0.486625514403292,
Specimen_001_D2_D02_021.fcs,0.07065541895678,0.662188515709642,0.49738219895288,
Specimen_001_D3_D03_022.fcs,0.0627160138248848,0.716130884041332,0.400801603206413,
Specimen_001_D4_D04_023.fcs,0.0597488455533039,0.706422018348624,0.411255411255411,
Specimen_001_D5_D05_024.fcs,0.0489403353476892,0.652173913043478,0.560666666666667,
Specimen_001_D6_D06_025.fcs,0.0637132799473002,0.715993537964459,0.402527075812274,
Specimen_001_D7_D07_026.fcs,0.105501428718973,0.838635992821015,0.334046692607004,
Specimen_001_D8_D08_027.fcs,0.0570671952673718,0.649118046132972,0.519230769230769,
Specimen_001_D9_D09_028.fcs,0.0840587648428177,0.74121480102397,0.286656200941915,
Specimen_001_D10_D10_029.fcs,0.063951745180691,0.656646442360728,0.448131037379252,
Specimen_001_D11_D11_030.fcs,0.0608182176944327,0.707762557077626,0.389473684210526,
Specimen_001_E2_E02_031.fcs,0.0700746033413891,0.635177687809267,0.542965061378659,
Specimen_001_E3_E03_032.fcs,0.0705781284030685,0.691410937767872,0.440862881229854,
Specimen_001_E4_E04_033.fcs,0.0665330314166574,0.679375116235819,0.427867506159321,
Specimen_001_E5_E05_034.fcs,0.0661253470260177,0.695894482630503,0.426855312333155,
Specimen_001_E6_E06_035.fcs,0.0627021058443095,0.712788259958071,0.399117647058823,
Specimen_001_E7_E07_036.fcs,0.0672746720711592,0.691213389121339,0.430508474576271,
Specimen_001_E8_E08_037.fcs,0.0669506999391357,0.648214285714286,0.504382669671926,
Specimen_001_E9_E09_038.fcs,0.0769941072838831,0.708063752564305,0.362157343436595,
Specimen_001_E10_E10_039.fcs,0.0649915610811325,0.681602048280907,0.479205795546016,
Specimen_001_E11_E11_040.fcs,0.0707784889531546,0.734565119423164,0.43558282208589,
Specimen_001_F2_F02_041.fcs,0.0707933740191805,0.646551724137931,0.542857142857143,
Specimen_001_F3_F03_042.fcs,0.0640094578618477,0.662796833773087,0.464171974522293,
Specimen_001_F4_F04_043.fcs,0.0647107745120592,0.697292863002461,0.398039215686274,
Specimen_001_F5_F05_044.fcs,0.0641545342087734,0.71403144467517,0.406314914831741,
Specimen_001_F6_F06_045.fcs,0.187348887189767,0.860026472534745,0.455046812876747,
Specimen_001_F7_F07_046.fcs,0.0619174664772531,0.68047006155568,0.493832236842105,
Specimen_001_F8_F08_047.fcs,0.0589773834555618,0.709855072463768,0.424663127807268,
Specimen_001_F9_F09_048.fcs,0.0684267241379311,0.696977393954788,0.431122448979592,
Specimen_001_F10_F10_049.fcs,0.082532367785824,0.790215368253124,0.386271870794078,
Specimen_001_F11_F11_050.fcs,0.0661998426435877,0.650344663655812,0.551169590643275,
Specimen_001_G2_G02_051.fcs,0.0690882489484124,0.652616575035634,0.525741029641186,
Specimen_001_G3_G03_052.fcs,0.0655966176010022,0.670804487944617,0.48576512455516,
Specimen_001_G4_G04_053.fcs,0.0586186613831961,0.654871930287827,0.461290322580645,
Specimen_001_G5_G05_054.fcs,0.119712286158631,0.908087041247158,0.880185979971388,
Specimen_001_G6_G06_055.fcs,0.0643894612396555,0.660983606557377,0.553240740740741,
Specimen_001_G7_G07_056.fcs,0.0713855535062295,0.711310308462958,0.36767976278725,
Specimen_001_G8_G08_057.fcs,0.137441036008321,0.868897889575783,0.316732090284593,
