none,none,none,none,none,none,none,none,none,none,none,none
none,il13 5ul,sdf1a 5ul,(il4),hil24 20ul,mcxcl16 20ul,mil5 10ul,mcxcl10 10ul,ifnb 10ul,mcxcl20 10ul,mCcl7,none
none,mil33,mil21,ifna,mccl2,mil18,mtnfa,mcxcl9,mccl22,mtnfsf18,mccl2,none
none,mIL6,5,our_il4,2,mIL10,wt,wt,wt,wt,wt,none
none,rmIL1b,IL1a,IL9,20,17,IL15,IFNg,wt,wt,wt,none
none,22,21,rmIL2b*,25,27,IL6*,wt,wt,wt,wt,none
none,our_IL2,our_TGFb,rmTGFb,mouse_TGFb1,TSLP,danazol,wt,wt,wt,wt,none
none,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
plate4,,,,,,,,,,,
,4,e17a,,,,,,,,,
