Gene stable ID	Transcript length (including UTRs and CDS)
ENSMUSG00000064372	67
ENSMUSG00000064371	67
ENSMUSG00000064370	1144
ENSMUSG00000064369	69
ENSMUSG00000064368	519
ENSMUSG00000064367	1824
ENSMUSG00000064366	71
ENSMUSG00000064365	59
ENSMUSG00000064364	67
ENSMUSG00000064363	1378
ENSMUSG00000065947	297
ENSMUSG00000064361	68
ENSMUSG00000064360	348
ENSMUSG00000064359	68
ENSMUSG00000064358	784
ENSMUSG00000064357	681
ENSMUSG00000064356	204
ENSMUSG00000064355	65
ENSMUSG00000064354	684
ENSMUSG00000064353	70
ENSMUSG00000064352	69
ENSMUSG00000064351	1545
ENSMUSG00000064350	67
ENSMUSG00000064349	66
ENSMUSG00000064348	71
ENSMUSG00000064347	69
ENSMUSG00000064346	67
ENSMUSG00000064345	1038
ENSMUSG00000064344	69
ENSMUSG00000064343	71
ENSMUSG00000064342	69
ENSMUSG00000064341	957
ENSMUSG00000064340	75
ENSMUSG00000064339	1582
ENSMUSG00000064338	69
ENSMUSG00000064337	955
ENSMUSG00000064336	68
ENSMUSG00000024644	2050
ENSMUSG00000024644	2088
ENSMUSG00000054237	1402
ENSMUSG00000084622	323
ENSMUSG00000051439	1572
ENSMUSG00000079286	69
ENSMUSG00000065726	178
ENSMUSG00000095094	110
ENSMUSG00000054648	1590
ENSMUSG00000048832	2415
ENSMUSG00000024594	4801
ENSMUSG00000088464	104
ENSMUSG00000064540	65
ENSMUSG00000089450	98
ENSMUSG00000073807	231
ENSMUSG00000077481	128
ENSMUSG00000065031	98
ENSMUSG00000077188	132
ENSMUSG00000042401	2616
ENSMUSG00000035521	1234
ENSMUSG00000035521	2249
ENSMUSG00000088008	129
ENSMUSG00000064497	107
ENSMUSG00000092813	87
ENSMUSG00000065514	82
ENSMUSG00000077619	131
ENSMUSG00000092956	89
ENSMUSG00000092714	84
ENSMUSG00000024645	1315
ENSMUSG00000093352	78
ENSMUSG00000098529	138
ENSMUSG00000092842	84
ENSMUSG00000107108	2925
ENSMUSG00000045052	1572
ENSMUSG00000098925	215
ENSMUSG00000077931	85
ENSMUSG00000074925	2064
ENSMUSG00000068466	648
ENSMUSG00000093189	282
ENSMUSG00000096915	1497
ENSMUSG00000065036	134
ENSMUSG00000092758	188
ENSMUSG00000074026	165
ENSMUSG00000065094	74
ENSMUSG00000095112	107
ENSMUSG00000078197	102
ENSMUSG00000070167	148
ENSMUSG00000070717	2296
ENSMUSG00000065130	105
ENSMUSG00000054745	309
ENSMUSG00000087841	108
ENSMUSG00000095269	86
ENSMUSG00000064052	2008
ENSMUSG00000116275	4395
ENSMUSG00000104570	137
ENSMUSG00000084549	72
ENSMUSG00000044424	579
ENSMUSG00000035783	1781
ENSMUSG00000024875	1493
ENSMUSG00000084732	305
ENSMUSG00000106653	63
ENSMUSG00000093734	255
ENSMUSG00000095850	498
ENSMUSG00000091312	63
ENSMUSG00000105037	216
ENSMUSG00000099074	96
ENSMUSG00000104589	69
ENSMUSG00000078349	1848
ENSMUSG00000098690	277
ENSMUSG00000084668	65
ENSMUSG00000068604	879
ENSMUSG00000091297	420
ENSMUSG00000098898	126
ENSMUSG00000065362	131
ENSMUSG00000089612	103
ENSMUSG00000094265	119
ENSMUSG00000001473	1757
ENSMUSG00000084419	310
ENSMUSG00000024902	2882
ENSMUSG00000106017	115
ENSMUSG00000076141	89
ENSMUSG00000080461	127
ENSMUSG00000095366	309
ENSMUSG00000084703	116
ENSMUSG00000088372	134
ENSMUSG00000093476	96
ENSMUSG00000093010	124
ENSMUSG00000096431	94
ENSMUSG00000088835	271
ENSMUSG00000095450	372
ENSMUSG00000096759	94
ENSMUSG00000064620	122
ENSMUSG00000088241	119
ENSMUSG00000096675	132
ENSMUSG00000098565	114
